address,price,list_fee,sold_date,sqm,rooms,elevator,patio,new_production,balcony,gardet,kungsholmen,norrmalm,ostermalm,sodermalm,vasastan,latitude,longitude,distance_to_central_station
Birger Jarlsgatan 115B,5895000,2924.0,2023-04-05,61.0,2.0,1,0,0,1,0,0,0,0,0,1,59.34950660000001,18.0585968,2.5 km
Erik Dahlbergsgatan 41,3050000,1493.0,2023-04-05,27.0,1.0,1,0,0,0,1,0,0,0,0,0,59.344623,18.0927467,2.9 km
Bergsgatan 49,7495000,3875.0,2023-04-05,77.0,3.0,1,0,0,1,0,1,0,0,0,0,59.3305398,18.0374299,1.5 km
Värtavägen 23,7450000,3625.0,2023-04-05,69.0,3.0,1,0,0,1,1,0,0,0,0,0,59.34152880000001,18.0964192,3.0 km
Gävlegatan 26,4075000,2000.0,2023-04-05,40.0,2.0,1,0,0,1,0,0,0,0,0,1,59.34700350000001,18.0339991,2.5 km
Warfvinges Väg 3,4130000,3047.0,2023-04-05,52.0,2.0,1,0,0,1,0,1,0,0,0,0,59.3363585,18.0140603,3.0 km
Hälsingegatan 51,4850000,3163.0,2023-04-05,55.0,2.0,1,0,0,0,0,0,0,0,0,1,59.34776489999999,18.0371689,2.4 km
Pilgatan 19C,8610000,5075.0,2023-04-05,87.0,4.0,1,0,0,1,0,1,0,0,0,0,59.32975109999999,18.0388653,1.5 km
Blekingegatan 36,4050000,2295.0,2023-04-05,45.0,2.0,1,1,0,0,0,0,0,0,1,0,59.3103381,18.0742443,2.9 km
Magnus Ladulåsgatan 29,4450000,2588.0,2023-04-05,55.0,2.5,1,0,0,1,0,0,0,0,1,0,59.31233209999999,18.0633262,2.8 km
Sturegatan 44C,12750000,5225.0,2023-04-05,125.0,3.0,0,0,0,1,0,0,0,1,0,0,59.34104439999999,18.0776167,1.7 km
Gotlandsgatan 69,7425000,3137.0,2023-04-05,68.0,2.0,1,0,0,1,0,0,0,0,1,0,59.3103974,18.080709,3.1 km
Sankt Eriksgatan 85C,3650000,977.0,2023-04-04,35.0,1.0,1,0,0,0,0,0,0,0,0,1,59.3408548,18.0362339,1.9 km
Vegagatan 5,3600000,1693.0,2023-04-04,35.0,1.0,1,0,0,0,0,0,0,0,0,1,59.34132589999999,18.050952,1.2 km
Drakenbergsgatan 19,12550000,5852.0,2023-04-04,128.0,5.0,1,0,0,1,0,0,0,0,1,0,59.3151716,18.0415398,3.3 km
Bondegatan 18,5650000,3484.0,2023-04-04,60.0,2.0,1,0,0,1,0,0,0,0,1,0,59.31276709999999,18.0788227,2.9 km
Wennerbergsgatan 2,6100000,5808.0,2023-04-04,87.0,4.0,1,0,0,1,0,1,0,0,0,0,59.32817319999999,18.0128544,3.2 km
Hjalmar Söderbergs väg 8,7000000,4442.0,2023-04-04,82.0,3.0,1,0,0,1,0,1,0,0,0,0,59.3323642,18.0065692,3.3 km
Surbrunnsgatan 13,8700000,3074.0,2023-04-04,70.0,3.0,0,1,0,0,0,0,0,0,0,1,59.34666490000001,18.0630518,2.2 km
Warfvinges väg 18,6425000,5204.0,2023-04-04,78.5,3.0,1,0,0,1,0,1,0,0,0,0,59.33670859999999,18.0141203,3.0 km
Bergsgatan 31,3755000,1995.0,2023-04-04,36.0,1.5,1,0,0,0,0,1,0,0,0,0,59.3302622,18.0401662,1.3 km
Nybrogatan 38B,4975000,1742.0,2023-04-04,44.0,2.0,0,0,0,0,0,0,0,1,0,0,59.33763820000001,18.0804783,1.7 km
Bredgränd 7,4675000,2726.0,2023-04-04,39.0,1.5,0,0,0,0,0,0,0,0,0,0,59.3255215,18.0741889,1.4 km
Fleminggatan 49,5435000,1739.0,2023-04-04,53.0,2.0,1,0,0,1,0,1,0,0,0,0,59.33356360000001,18.0385067,1.4 km
Sankt Göransgatan 70,3495000,789.0,2023-04-04,38.0,1.0,1,0,0,0,0,1,0,0,0,0,59.333621,18.0309294,1.9 km
Lanforsvägen 43,3275000,3172.0,2023-04-04,44.2,2.0,0,0,0,0,1,0,0,0,0,0,59.35255770000001,18.0931939,4.0 km
Torsgatan 72,2850000,1002.0,2023-04-04,23.0,1.0,1,0,0,0,0,0,0,0,0,1,59.3448366,18.0350068,2.2 km
Sysslomansgatan 8,4195000,2379.0,2023-04-04,48.0,2.0,1,0,0,1,0,1,0,0,0,0,59.3313303,18.0263937,2.3 km
P O Hallmans gata 5,10500000,7007.0,2023-04-04,121.0,5.0,1,0,0,1,0,1,0,0,0,0,59.33523039999999,18.0401822,1.5 km
Långholmsgatan 5,10400000,4492.0,2023-04-04,98.0,4.0,1,0,0,1,0,0,0,0,1,0,59.3177422,18.0329379,3.6 km
Maria prästgårdsgata 19,7725000,5052.0,2023-04-04,74.0,3.0,1,0,0,1,0,0,0,0,1,0,59.3158763,18.0622204,2.3 km
Furusundsgatan 8,3300000,1646.0,2023-04-04,31.0,1.0,1,0,0,1,1,0,0,0,0,0,59.3475462,18.0964689,3.2 km
Sankt Eriksgatan 18,9400000,4347.0,2023-04-04,91.0,3.0,1,0,0,1,0,1,0,0,0,0,59.33073150000001,18.0306529,2.0 km
Bergsundsgatan 14,5400000,4458.0,2023-04-04,50.0,2.0,1,0,0,1,0,0,0,0,1,0,59.31703150000001,18.0286527,3.8 km
Frejgatan 4,7230000,2861.0,2023-04-04,62.0,2.0,1,0,0,1,0,0,0,0,0,1,59.3486156,18.0611202,2.4 km
Dalagatan 102,7100000,3801.0,2023-04-04,77.0,3.0,1,0,0,1,0,0,0,0,0,1,59.34859660000001,18.0391261,2.3 km
Åsögatan 92,4950000,3309.0,2023-04-04,57.0,2.5,1,0,0,1,0,0,0,0,1,0,59.31223679999999,18.0695169,2.7 km
Rådmansgatan 80 A,10850000,5569.0,2023-04-04,107.0,4.0,1,0,0,1,0,0,0,0,0,1,59.33866579999999,18.0514107,0.9 km
Götgatan 92A,4250000,1672.0,2023-04-04,46.0,2.0,1,0,0,0,0,0,0,0,1,0,59.30999809999999,18.074988,2.9 km
Hedemoratäppan 1,3380000,1743.0,2023-04-04,28.0,1.0,0,0,0,0,0,0,0,0,0,1,59.34468709999999,18.0368672,2.3 km
Valhallavägen 61,12650000,6375.0,2023-04-04,152.0,4.0,1,0,0,1,0,0,0,1,0,0,59.34693369999999,18.068325,2.4 km
Valhallavägen 82,14800000,4882.0,2023-04-04,130.0,4.0,1,0,0,1,0,0,0,1,0,0,59.3448863,18.0723995,2.1 km
Norr Mälarstrand 96,12750000,6113.0,2023-04-04,117.0,4.0,1,0,0,1,0,1,0,0,0,0,59.3301344,18.0253471,2.4 km
Högalidsgatan 29,2610000,1646.0,2023-04-04,24.0,1.0,1,0,0,0,0,0,0,0,1,0,59.31832910000001,18.0298177,3.8 km
Älvsborgsgatan 1,4100000,2969.0,2023-04-04,40.0,2.0,1,0,0,1,0,0,0,0,1,0,59.3094109,18.0733275,3.1 km
Södermannagatan 34,9100000,4688.0,2023-04-04,82.0,3.0,1,0,0,0,0,0,0,0,1,0,59.3121731,18.0809268,3.1 km
Tomtebogatan 39A,6000000,3141.0,2023-04-04,60.0,2.0,0,0,0,0,0,0,0,0,0,1,59.3415511,18.0287051,2.3 km
Eyvind Johnsons gata 7,4450000,2854.0,2023-04-03,51.0,2.0,1,0,0,1,0,1,0,0,0,0,59.3401194,18.0084048,3.4 km
Högalidsgatan 13B,6585000,3380.0,2023-04-03,66.0,3.0,1,0,0,0,0,0,0,0,1,0,59.3179291,18.0329719,3.5 km
Drottningholmsvägen 78,3350000,3304.0,2023-04-03,35.0,2.0,1,0,0,0,0,1,0,0,0,0,59.33183349999999,18.0151853,2.8 km
Siargatan 11,5300000,3269.0,2023-04-03,69.0,3.0,1,0,0,0,0,0,0,0,1,0,59.312501,18.0688491,2.6 km
Hornsgatan 117 /Drakenbergsgatan 16,3550000,2111.0,2023-04-03,46.0,1.5,1,0,0,1,0,0,0,0,1,0,59.3158039,18.0400653,3.3 km
Lindhagensgatan 77,4850000,3050.0,2023-04-03,62.0,3.0,1,0,0,1,0,1,0,0,0,0,59.3339639,18.0149125,2.9 km
Värtavägen 53 B,8800000,4926.0,2023-04-03,95.0,4.0,1,0,1,0,1,0,0,0,0,0,59.3461916,18.1017097,3.6 km
Katarina Bangata 61 4.5tr,2900000,1582.0,2023-04-03,26.0,1.0,1,0,0,0,0,0,0,0,1,0,59.30931349999999,18.0876234,3.5 km
Norra Stationsgatan 62B,3420000,2428.0,2023-04-03,35.0,2.0,1,0,0,1,0,0,0,0,0,1,59.34806030000001,18.0377742,2.4 km
St Eriksgatan 39,3100000,731.0,2023-04-03,25.0,1.0,1,0,0,0,0,1,0,0,0,0,59.3338699,18.0316953,1.8 km
Smedsbacksgatan 16,4350000,1830.0,2023-04-03,42.0,2.0,1,0,0,1,1,0,0,0,0,0,59.34790629999999,18.0999829,3.6 km
Engelbrektsgatan 16,10500000,4422.0,2023-04-03,87.0,3.5,1,0,0,1,0,0,0,1,0,0,59.34381510000001,18.0727293,1.9 km
Södra Agnegatan 26A,6550000,2491.0,2023-04-03,55.0,2.0,0,0,0,1,0,1,0,0,0,0,59.32956,18.0423343,1.3 km
Narvavägen 20,4365000,1850.0,2023-04-03,34.0,2.0,0,0,0,0,0,0,0,1,0,0,59.3355827,18.0918877,2.4 km
Jägmästargatan 12,4975000,2923.0,2023-04-03,51.0,2.0,0,0,0,0,1,0,0,0,0,0,59.354479,18.0984823,4.0 km
Linnégatan 60,10100000,4232.0,2023-04-03,77.0,3.0,1,0,0,1,0,0,0,1,0,0,59.33570519999999,18.0872087,2.1 km
Fredrikshovsgatan 10,18100000,6493.0,2023-04-03,150.0,4.0,1,0,0,1,0,0,0,1,0,0,59.3340085,18.0947432,2.5 km
